"Airport","Origin","Lat","Long"
"Slave Lake","YZH",55.293056,-114.777222
"Sandspit","YZP",53.254333,-131.813833
"Sarnia","YZR",42.999444,-82.308889
"Port Hardy","YZT",50.680556,-127.366667
"Whitecourt","YZU",54.14389,-115.786667
"Sept-iles","YZV",50.223333,-66.265556
"Teslin","YZW",60.172779,-132.742778
"Greenwood","YZX",44.984444,-64.916944
"Faro","ZFA",62.2075,-133.375833
"Fort Mcpherson","ZFM",67.4075,-134.860556
"Blida","",36.503613,2.814167
"Bou Saada","",35.3325,4.206389
"Bejaja","BJA",36.711997,5.069922
"Algier","ALG",36.691014,3.215408
"Djanet","DJG",24.292767,9.452444
"Boufarik","QFD",36.545834,2.876111
"Reggan","",26.710103,0.285647
"Illizi","VVZ",26.723536,8.622653
"Ain Oussera","",35.525414,2.878714
"Tamanrasset","TMR",22.811461,5.451075
"Jijel","GJL",36.795136,5.873608
"Mecheria","",33.535853,-0.242353
"Relizane","",35.752239,0.626272
"Annaba","AAE",36.822225,7.809167
"Constantine","CZL",36.276028,6.620386
"Tebessa","TEE",35.431611,8.120717
"Tilrempt","HRM",32.930431,3.311542
"Tiaret","TID",35.341136,1.463147
"Bou Sfer","",35.735389,-0.805389
"Tindouf","TIN",27.700372,-8.167103
"Ech-cheliff","QAS",36.212658,1.331775
"Oran","TAF",35.542444,-0.532278
"Tlemcen","TLM",35.016667,-1.45
"Oran","ORN",35.623858,-0.621183
"Sidi Bel Abbes","",35.171775,-0.593275
"Ghriss","MUW",35.207725,0.147142
"Adrar","AZR",27.837589,-0.186414
"Biskra","BSK",34.793289,5.738231
"El Golea","ELG",30.571294,2.859586
"Ghardaia","GHA",32.384106,3.794114
"Hassi Messaoud","HME",31.672972,6.140444
"In Salah","INZ",27.251022,2.512017
"Touggourt","TGR",33.067803,6.088672
"Laghouat","LOO",33.764383,2.928344
"Timimoun","TMX",29.237119,0.276033
"Ouargla","OGX",31.917223,5.412778
"Zarzaitine","IAM",28.05155,9.642911
"Cotonou","COO",6.357228,2.384353
"Ouagadougou","OUA",12.353194,-1.512417
"Bobo-dioulasso","BOY",11.160056,-4.330969
"Accra","ACC",5.605186,-0.166786
"Tamale","TML",9.557192,-0.863214
"Wa","",10.082664,-2.507694
"Sunyani","NYI",7.361828,-2.328756
"Takoradi","TKD",4.896056,-1.774756
"Abidjan","ABJ",5.261386,-3.926294
"Bouake","BYK",7.7388,-5.073667
"Daloa","DJO",6.792808,-6.473189
"Korhogo","HGO",9.387183,-5.556664
"Man","MJC",7.272069,-7.587364
"San Pedro","SPY",4.746717,-6.660817
"Yamoussoukro","ASK",6.903167,-5.365581
"Abuja","ABV",9.006792,7.263172
"Akure","AKR",7.246739,5.301008
"Benin","BNI",6.316981,5.599503
"Calabar","CBQ",4.976019,8.347197
"Enugu","ENU",6.474272,7.561961
"Gusau","QUS",12.171667,6.696111
"Ibadan","IBA",7.362458,3.978333
"Ilorin","ILR",8.440211,4.493919
"Jos","JOS",9.639828,8.86905
"Kaduna","KAD",10.696025,7.320114
"Kano","KAN",12.047589,8.524622
"Maiduguri","MIU",11.855347,13.08095
"Makurdi","MDI",7.703883,8.613939
"Lagos","LOS",6.577369,3.321156
"Minna","MXJ",9.652172,6.462256
"Port Hartcourt","PHC",5.015494,6.949594
"Sokoto","SKO",12.916322,5.207189
"Yola","YOL",9.257553,12.430422
"Zaria","ZAR",11.130192,7.685806
"Maradi","MFQ",13.502531,7.126753
"Niamey","NIM",13.481547,2.183614
"Tahoua","THZ",14.875658,5.265358
"Agadez","AJY",16.965997,8.000114
"Dirkou","",18.968703,12.86865
"Diffa","",13.372894,12.626686
"Zinder","ZND",13.778997,8.983761
"Monastir","MIR",35.758056,10.754722
"Tunis","TUN",36.851033,10.227217
"Bizerte","",37.245447,9.791453
"Remada","",32.306156,10.382108
"Gafsa","GAF",34.422022,8.822503
"Gabes","GAE",33.876919,10.103333
"Bordj El Amri","",36.721339,9.943147
"Djerba","DJE",33.875031,10.775461
"El Borma","EBM",31.704281,9.254619
"Sfax","SFA",34.717953,10.690972
"Tozeur","TOE",33.939722,8.110556
"Niatougou","LRL",9.767333,1.09125
"Lome","LFW",6.165611,1.254511
"Antwerp","ANR",51.189444,4.460278
"Beauvechain","",50.75861,4.768333
"Kleine Brogel","",51.168333,5.47
"Brussels","BRU",50.901389,4.484444
"Bertrix","",49.891667,5.223889
"Charleroi","CRL",50.459197,4.453817
"Chievres","",50.575833,3.831
"Koksijde","",51.090278,2.652778
"Florennes","",50.243333,4.645833
"Kortrijk-vevelgem","QKT",50.817222,3.204722
"Liege","LGG",50.637417,5.443222
"Ostend","OST",51.198889,2.862222
"Zutendaal","",50.9475,5.590556
"Sint-truiden","",50.791944,5.201667
"St.-hubert","",50.035833,5.404167
"Ursel","",51.144133,3.474361
"Weelde","",51.394783,4.960194
"Zoersel","",51.264722,4.753333
"Bautzen","BBJ",51.193531,14.519747
"Altenburg","AOC",50.981817,12.506361
"Dessau","",51.831828,12.184033
"Eisenhuettenstadt","",52.197333,14.585667
"Greencastle","4I7",39.6335556,-86.8138056
"Suhl","",51.308111,13.554973
"Muehlhausen","",51.363,11.940833
"Halle","",51.552,12.052667
"Riesa","",51.2935,13.356
"Rechlin-laerz","",53.306417,12.753139
"Strausberg","",52.579978,13.915683
"Schoenhagen","",52.203258,13.158408
"Barth","BBH",54.33754,12.699705
"Jena","",50.915161,11.714519
"Kyritz","",52.918833,12.425333
"Magdeburg","",52.073658,11.626467
"Rothenburg/ol","",51.363167,14.95
"Anklam","",53.8327,13.669131
"Cottbus","",51.889475,14.531986
"Kamenz","",51.29625,14.129
"Berlin","SXF",52.380001,13.5225
"Dresden","DRS",51.132767,13.767161
"Erfurt","ERF",50.979811,10.958106
"Frankfurt","FRA",50.026421,8.543125
"Munster","FMO",52.134642,7.684831
"Hamburg","HAM",53.630389,9.988228
"Berlin","THF",52.473025,13.403944
"Cologne","CGN",50.865917,7.142744
"Duesseldorf","DUS",51.289453,6.766775
"Munich","MUC",48.353783,11.786086
"Nuernberg","NUE",49.4987,11.066897
"Leipzig","LEJ",51.432447,12.241633
"Saarbruecken","SCN",49.214553,7.109508
"Stuttgart","STR",48.689878,9.221964
"Berlin","TXL",52.559686,13.287711
"Hannover","HAJ",52.461056,9.685078
"Bremen","BRE",53.0475,8.786667
"Egelsbach","",49.960833,8.6415
"Hahn","HHN",49.948672,7.263892
"Mannheim","MHG",49.472706,8.514264
"Allendorf","",51.034878,8.680839
"Worms","",49.606511,8.3684
"Mainz","",49.968931,8.148336
"Eisenach","",50.992797,10.472711
"Siegerland","",50.707658,8.082969
"Hamburg","XFW",53.535886,9.837025
"Kiel","KEL",54.3795,10.145167
"Luebeck","LBC",53.805367,10.719222
"Dahlemer Binz","",50.405888,6.528083
"Meinerzhagen","",51.099445,7.601944
"Arnsberg","ZCA",51.483333,7.899333
"Essen","ESS",51.402333,6.937333
"Bielefeld","",51.964833,8.544833
"Moenchengladbach","MGL",51.230356,6.504494
"Paderborn","PAD",51.614089,8.616317
"Stadtlohn","",51.995844,6.840667
"Dortmund","DTM",51.518314,7.612242
"Augsburg","AGB",48.425158,10.931764
"Biberach","",48.111,9.762833
"Eggenfelden","",48.396167,12.723667
"Mindelheim","",48.108833,10.524333
"Oberpfaffenhofen","OBF",48.081364,11.283067
"Straubing","",48.90095,12.518186
"Vilshofen","",48.635167,13.195667
"Leutkirch","",47.859117,10.014572
"Friedrichshafen","FDH",47.671317,9.511486
"Parchim","SZW",53.426997,11.783436
"Stendal","ZSN",52.627778,11.818333
"Aalen-heidenheim","",48.777833,10.264667
"Bayreuth","BYU",49.984428,11.638569
"Burg Feuerstein","",49.793833,11.133167
"Hof","HOQ",50.288836,11.854919
"Hassfurt","",50.018,10.5295
"Koblenz","ZNV",50.3255,7.528667
"Trier","ZQF",49.8635,6.788167
"Speyer","ZQC",49.302776,8.451195
"Zweibruecken","",49.209525,7.400647
"Donaueschingen","ZQL",47.973331,8.522223
"Freiburg","",48.022653,7.832583
"Mengen","",48.053833,9.372833
"Schwaebisch Hall","",49.118317,9.783956
"Soest","",51.6075,13.738
"Braunschweig","BWE",52.319167,10.556111
"Kassel","KSF",51.408394,9.377631
"Hildesheim","",52.179833,9.945667
"Bremerhaven","BRV",53.507081,8.572878
"Emden","EME",53.391186,7.227408
"Leer","",53.271592,7.442344
"Wilhelmshaven","WVN",53.504833,8.053333
"Borkum","BMK",53.5955,6.709167
"Norderney","NRD",53.706822,7.230247
"Flensburg","FLF",54.771772,9.378214
"Rendsburg","",54.220928,9.600803
"Westerland","GWT",54.91325,8.340472
"Armari Air Force Base","",59.260286,24.208467
"Kardla","KDL",58.990756,22.830733
"Kuressaare","URE",58.229883,22.509494
"Parnu","EPU",58.419044,24.472819
"Tallinn-ulemiste International","TLL",59.413317,24.832844
"Tartu","TAY",58.307461,26.690428
"Enontekio","ENF",68.362586,23.424322
"Eura","",61.116112,22.201389
"Halli","KEV",61.85605,24.7866
"Helsinki","HEM",60.254558,25.042828
"Helsinki","HEL",60.317222,24.963333
"Hameenkyro","",61.689656,23.073744
"Hanko","",59.848864,23.083583
"Hyvinkaa","HYV",60.654444,24.881111
"Kikala","",60.462502,23.6525
"Immola","",61.249172,28.903711
"Kitee","",62.166111,30.073611
"Ivalo","IVL",68.607269,27.405328
"Joensuu","JOE",62.662906,29.60755
"Jyvaskyla","JYV",62.399453,25.678253
"Kauhava","KAU",63.127078,23.051442
"Kemi","KEM",65.781889,24.5991
"Kajaani","KAJ",64.285472,27.692414
"Kauhajoki","",62.462502,22.393055
"Kruunupyy","KOK",63.721172,23.143131
"Kemijarvi","",66.712883,27.156786
"Kuusamo","KAO",65.987575,29.239381
"Kittila","KTT",67.701022,24.84685
"Kuopio","KUO",63.00715,27.797756
"Vesivehmaa","",61.144158,25.693508
"Lappeenranta","LPP",61.044553,28.144397
"Mariehamn","MHQ",60.122203,19.898156
"Menkijarvi","",62.946667,23.518889
"Mikkeli","MIK",61.6866,27.201794
"Nummela","",60.333889,24.296389
"Oulu","OUL",64.930061,25.354564
"Piikajarvi","",61.245558,22.193356
"Pori","POR",61.461686,21.799983
"Pudasjarvi","",65.402222,26.946944
"Pyhasalmi","",63.731917,25.926306
"Pattijoki","",64.688056,24.695833
"Rantasalmi","",62.065481,28.356494
"Rovaniemi","RVN",66.564822,25.830411
"Rayskala","",60.744722,24.107778
"Savonlinna","SVL",61.943064,28.945136
"Selanpaa","",61.062389,26.798861
"Sodankyla","SOT",67.395033,26.619133
"Tampere","TMP",61.414147,23.604392
"Teisko","",61.77335,24.027006
"Turku","TKU",60.514142,22.262808
"Utti","QVY",60.896394,26.938353
"Vaasa","VAA",63.05065,21.762175
"Varkaus","VRK",62.171111,27.868611
"Ylivieska-raudaskyla","",64.060547,24.715953
"Belfast","BFS",54.6575,-6.215833
"Enniskillen","ENK",54.398889,-7.651667
"Belfast","BHD",54.618056,-5.8725
"Londonderry","LDY",55.042778,-7.161111
"Birmingham","BHX",52.453856,-1.748028
"Coventry","CVT",52.369722,-1.479722
"Leicester","",52.607778,-1.031944
"Golouchestershire","GLO",51.894167,-2.167222
"Halfpenny Green","",52.5175,-2.259444
"Pailton","",51.668056,-2.056944
"Turweston","",52.040833,-1.095556
"Wellesbourne","",52.192222,-1.614444
"Manchester","MAN",53.353744,-2.27495
"Woodfort","",53.338056,-2.148889
"Chivenor","",51.087167,-4.150339
"Newquai","NQY",50.440558,-4.995408
"Lyneham","LYE",51.505144,-1.993428
"Boscombe Down","",51.152189,-1.747414
"Culdrose","",50.086092,-5.255711
"St. Athan","",51.404811,-3.43575
"Yeovilton","YEO",51.009358,-2.638819
"Haverfordwest","",51.833056,-4.961111
"Cardiff","CWL",51.396667,-3.343333
"Swansea","SWS",51.605333,-4.067833
"Bristol","BRS",51.382669,-2.719089
"Liverpool","LPL",53.333611,-2.849722
"London","LTN",51.874722,-0.368333
"Plymouth","PLH",50.422778,-4.105833
"Bournemouth","BOH",50.78,-1.8425
"Southampton","SOU",50.950261,-1.356803
"Lasham","QLA",51.187167,-1.0335
"Alderney","ACI",49.706111,-2.214722
"Guernsey","GCI",49.434956,-2.601969
"Jersey","JER",49.207947,-2.195508
"Shoreham By Sea","ESH",50.835556,-0.297222
"Biggin Hill","BQH",51.330833,0.0325
"London","LGW",51.148056,-0.190278
"London","LCY",51.505278,0.055278
"Farnborough","FAB",51.275833,-0.776333
"Chalsgrove","",51.676111,-1.080833
"Blackbushe","BBS",51.323889,-0.8475
"London","LHR",51.4775,-0.461389
"Southend","SEN",51.571389,0.695556
"Lydd","LYX",50.956111,0.939167
"Manston","MSE",51.342222,1.346111
"Brough","",53.719667,-0.566333
"Carlisle","CAX",54.9375,-2.809167
"Repton","",53.280556,-0.951389
"Blackpool","BLK",53.771667,-3.028611
"Humberside","HUY",53.574444,-0.350833
"Barrow Island","BWF",54.131167,-3.263667
"Leeds","LBA",53.865897,-1.660569
"Warton","",53.745097,-2.883061
"Hawarden","CEG",53.178056,-2.977778
"Isle Of Man","IOM",54.083333,-4.623889
"Newcastle","NCL",55.0375,-1.691667
"Teesside","MME",54.509189,-1.429406
"East Midlands","EMA",52.831111,-1.328056
"Llanbedr","",52.811744,-4.123575
"Ternhill","",52.871164,-2.533561
"Shawbury","",52.798169,-2.668042
"Woodvale","",53.581575,-3.055522
"Kirkwall","KOI",58.957778,-2.905
"Sumburgh","LSI",59.878889,-1.295556
"Wick","WIC",58.458889,-3.093056
"Aberdeen","ABZ",57.201944,-2.197778
"Inverness","INV",57.5425,-4.0475
"Glasgow","GLA",55.871944,-4.433056
"Edinburgh","EDI",55.95,-3.3725
"Islay","ILY",55.681944,-6.256667
"Prestwick","PIK",55.509444,-4.586667
"Benbecula","BEB",57.481111,-7.362778
"Scatsta","SDZ",60.432778,-1.296111
"Dundee","DND",56.452499,-3.025833
"Stornoway","SYY",58.215556,-6.331111
"Tiree","TRE",56.499167,-6.869167
"Leuchars","ADX",56.372889,-2.868444
"Lossiemouth","LMO",57.705214,-3.339169
"Cambridge","CBG",52.205,0.175
"Peterborough","",52.468056,-0.251111
"Norwich","NWI",52.675833,1.282778
"London","STN",51.885,0.235
"North Weald","",51.721667,0.154167
"Fowlmere","",53.394256,-1.388486
"Cranfield","",52.072222,-0.616667
"Exeter","EXT",50.734444,-3.413889
"Bristol","FZO",51.519444,-2.590833
"Oxford","OXF",51.836944,-1.32
"Benson","",51.616389,-1.095833
"Lakenheath","",52.409333,0.561
"Mildenhall","MHZ",52.361933,0.486406
"Wattisham","",52.127283,0.956264
"Wyton","",52.357167,-0.107833
"Fairford","FFD",51.682167,-1.790028
"Brize Norton","BZZ",51.749964,-1.583617
"Odiham","ODH",51.234139,-0.942825
"Cosford","",52.640028,-2.305578
"Northolt","NHT",51.553,-0.418167
"Coningsby","QCY",53.093014,-0.166014
"Dishforth","",54.137186,-1.420253
"Leeming","",54.292383,-1.5354
"Church Fenton","",53.834333,-1.1955
"Honington","BEQ",52.342611,0.772939
"Cottesmore","",52.735711,-0.648769
"Scampton","",53.307778,-0.550833
"Wittering","",52.612558,-0.476453
"Linton-on-ouse","",54.048911,-1.252747
"Waddington","WTN",53.166167,-0.523811
"Topcliffe","",54.205522,-1.382094
"Cranwell","",53.03035,-0.483242
"Barkston Heath","",52.962225,-0.561625
"Marham","KNF",52.648353,0.550692
"Mount Pleasant","MPN",-51.822777,-58.447222
"Amsterdam","AMS",52.308613,4.763889
"Weert","",51.25528,5.601389
"Maastricht","MST",50.911658,5.770144
"Deelen","",52.060556,5.873056
"Drachten","",53.119167,6.129722
"Eindhoven","EIN",51.450139,5.374528
"Groningen","GRQ",53.11972,6.579444
"Gilze-rijen","",51.567389,4.931833
"De Kooy","DHR",52.923353,4.780625
"Lelystad","",52.460278,5.527222
"Leeuwarden","LWR",53.228611,5.760556
"Rotterdam","RTM",51.956944,4.437222
"Soesterberg","UTC",52.1273,5.27619
"Enschede","ENS",52.27,6.874167
"Valkenburg","LID",52.166139,4.417944
"Woensdrecht","WOE",51.449092,4.342031
"Cork","ORK",51.841269,-8.491111
"Galway","GWY",53.300175,-8.941592
"Dublin","DUB",53.421333,-6.270075
"Connaught","NOC",53.910297,-8.818492
"Kerry","KIR",52.180878,-9.523783
"Casement","",53.301667,-6.451333
"Shannon","SNN",52.701978,-8.924817
"Sligo","SXL",54.280214,-8.599206
"Waterford","WAT",52.1872,-7.086964
"Aarhus","AAR",56.300017,10.619008
"Billund","BLL",55.740322,9.151778
"Copenhagen","CPH",55.617917,12.655972
"Esbjerg","EBJ",55.525942,8.553403
"Gronholt","",55.941387,12.382222
"Karup","KRP",56.297458,9.124628
"Laeso","",57.277228,11.000083
"Maribo","",54.699344,11.440117
"Odense","ODE",55.476664,10.330933
"Krusa-padborg","",54.870306,9.279014
"Copenhagen","RKE",55.585567,12.131428
"Ronne","RNN",55.063267,14.759558
"Soenderborg","SGD",54.964367,9.791731
"Skrydstrup","SKS",55.225553,9.263931
"Skive","",56.550208,9.172983
"Thisted","TED",57.0688,8.705225
"Kolding","",55.436283,9.330925
"Vagar","FAE",62.063628,-7.277219
"Vesthimmerland","",56.846944,9.458611
"Stauning","STA",55.990122,8.353906
"Aalborg","AAL",57.092789,9.849164
"Luxemburg","LUX",49.626575,6.211517
"Alesund","AES",62.560372,6.110164
"Andoya","ANX",69.2925,16.144167
"Alta","ALF",69.976111,23.371667
"Voss","",60.63885,6.501497
"Bronnoysund","BNN",65.461111,12.2175
"Bodo","BOO",67.269167,14.365278
"Bergen","BGO",60.293386,5.218142
"Batsfjord","BJF",70.600278,29.6925
"Kristiansand","KRS",58.204214,8.085369
"Geilo","",60.416667,8.512778
"Bardufoss","BDU",69.055758,18.540356
"Harstad/Narvik","EVE",68.4913,16.678108
"Fagernes","VDB",61.015556,9.288056
"Floro","FRO",61.583611,5.024722
"Oslo","OSL",60.193917,11.100361
"Haugesund","HAU",59.345267,5.208364
"Hasvik","HAA",70.486675,22.139744
"Kristiansund","KSU",63.111781,7.824522
"Kjeller","",59.969336,11.036089
"Kirkenes","KKN",69.725781,29.891295
"Farsund","FAN",58.099486,6.62605
"Molde","MOL",62.744722,7.2625
"Mosjoen","MJF",65.783997,13.214914
"Lakselv","LKL",70.068814,24.973489
"Notodden","NTB",59.565683,9.212222
"Orland","OLA",63.698908,9.604003
"Roros","RRS",62.578411,11.342347
"Rygge","RYG",59.378933,10.785389
"Svalbard","LYR",78.246111,15.465556
"Skien","SKE",59.185,9.566944
"Stord","SRP",59.791925,5.34085
"Sandnessjoen","SSJ",65.956828,12.468944
"Tromso","TOS",69.683333,18.918919
"Sandefjord","TRF",59.186703,10.258628
"Trondheim","TRD",63.457556,10.92425
"Stavanger","SVG",58.876778,5.637856
"Warsaw","",52.268494,20.911047
"Gdansk","GDN",54.377569,18.466222
"Krakow","KRK",50.077731,19.784836
"Katowice","",50.238147,19.034181
"Katowice","KTW",50.474253,19.080019
"Mielec","",50.322275,21.462131
"Poznan","POZ",52.421031,16.826325
